name,type_name,parent,status,rank,address
Tranquillimonas,Tranquillimonas,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/tranquillimonas
Tetragenococcus,Tetragenococcus,Enterococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/tetragenococcus
Gorillibacterium,Gorillibacterium,Paenibacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/gorillibacterium
Endobacter,Endobacter,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/endobacter
Halocalculus,Halocalculus,Halobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/halocalculus
Oceanithermus,Oceanithermus,Thermaceae,correct name,genus,https://lpsn.dsmz.de/genus/oceanithermus
Glaciimonas,Glaciimonas,Oxalobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/glaciimonas
Enhygromyxa,Enhygromyxa,Nannocystaceae,correct name,genus,https://lpsn.dsmz.de/genus/enhygromyxa
Carideicomes,Carideicomes,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/carideicomes
Floccifex,Floccifex,Erysipelotrichaceae,correct name,genus,https://lpsn.dsmz.de/genus/floccifex
Jonesia,Jonesia,Jonesiaceae,correct name,genus,https://lpsn.dsmz.de/genus/jonesia
Niastella,Niastella,Chitinophagaceae,correct name,genus,https://lpsn.dsmz.de/genus/niastella
Pyrococcus,Pyrococcus,Thermococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/pyrococcus
Parapedobacter,Parapedobacter,Sphingobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/parapedobacter
Rhabdaerophilum,Rhabdaerophilum,Rhabdaerophilaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhabdaerophilum
Eggerthia,Eggerthia,Coprobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/eggerthia
Achromobacter,Achromobacter,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/achromobacter
Endothiovibrio,Endothiovibrio,Thioalkalispiraceae,correct name,genus,https://lpsn.dsmz.de/genus/endothiovibrio
Gottfriedia,Gottfriedia,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/gottfriedia
Caenibacillus,Caenibacillus,Sporolactobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/caenibacillus
Wenzhouxiangella,Wenzhouxiangella,Wenzhouxiangellaceae,correct name,genus,https://lpsn.dsmz.de/genus/wenzhouxiangella
Hornefia,Hornefia,"Mogibacteriaceae",correct name,genus,https://lpsn.dsmz.de/genus/hornefia
Thalassococcus,Thalassococcus,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/thalassococcus
Flocculibacter,Flocculibacter,Pseudoalteromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/flocculibacter
Auraticoccus,Auraticoccus,Propionibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/auraticoccus
Asaccharobacter,Asaccharobacter,Eggerthellaceae,correct name,genus,https://lpsn.dsmz.de/genus/asaccharobacter
Facklamia,Facklamia,Aerococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/facklamia
Auritidibacter,Auritidibacter,Micrococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/auritidibacter
Rhodopila,Rhodopila,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodopila
Rhodopirellula,Rhodopirellula,Pirellulaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodopirellula
Ramlibacter,Ramlibacter,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/ramlibacter
